istilah,pengertian,undang_undang,uu,url,status
‘Uqubat,‘Uqubat adalah hukuman yang dapat dijatuhkan oleh hakim terhadap pelaku Jarimah.,Qanun Aceh Nomor 6 Tahun 2014,Hukum Jinayat,https://paralegal.id/pengertian/uqubat/,OK
Abrasi,Abrasi adalah peristiwa rusaknya pantai sebagai akibat dari hantaman ombak atau gaya air laut.,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor 10 Tahun 2022,Penyusunan Rencana Umum Rehabilitasi Hutan dan Lahan Daerah Aliran Sungai dan Rencana Tahunan Rehabilitasi Hutan dan Lahan,https://paralegal.id/pengertian/abrasi/,OK
Acara Kenegaraan,"Acara Kenegaraan adalah acara yang diatur dan dilaksanakan oleh panitia negara secara terpusat, dihadiri oleh Presiden dan/atau Wakil Presiden, serta Pejabat Negara dan undangan lain",Undang-Undang Nomor 9 Tahun 2010,Keprotokolan,https://paralegal.id/pengertian/acara-kenegaraan/,OK
Acara Resmi,Acara Resmi adalah acara yang diatur dan dilaksanakan oleh pemerintah atau lembaga negara dalam melaksanakan tugas dan fungsi tertentu dan dihadiri oleh Pejabat Negara dan/atau Pejabat Pemerintahan serta undangan lain,Undang-Undang Nomor 9 Tahun 2010,Keprotokolan,https://paralegal.id/pengertian/acara-resmi/,OK
Account Enquiry Request,Account Enquiry Request yang selanjutnya disingkat AER adalah perintah dalam format elektronik yang digunakan sebagai dasar pemrosesan validasi informasi nasabah penerima berbasis nomor rekening.,Peraturan Anggota Dewan Gubernur Bank Indonesia Nomor 17 Tahun 2023,Penyelenggaraan Bank Indonesia-Fast Payment,https://paralegal.id/pengertian/account-enquiry-request/,OK
Aceh,"Aceh adalah daerah provinsi yang merupakan kesatuan masyarakat hukum yang bersifat istimewa dan diberi kewenangan khusus untuk mengatur dan mengurus sendiri urusan pemerintahan dan kepentingan masyarakat setempat sesuai dengan peraturan perundang-undangan dalam sistem dan prinsip Negara Kesatuan Republik Indonesia berdasarkan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, yang dipimpin oleh seorang Gubernur",Undang-Undang Nomor 11 Tahun 2006,Pemerintahan Aceh,https://paralegal.id/pengertian/aceh/,OK
Acquired Immuno-Deficiency Syndrome,Acquired Immuno-Deficiency Syndrome yang selanjutnya disingkat AIDS adalah sekumpulan gejala dan tanda infeksi yang berhubungan dengan penurunan sistem kekebalan tubuh yang didapat karena infeksi HIV.,Peraturan Menteri Kesehatan Nomor 23 Tahun 2022,"Penanggulangan Human Immunodeficiency Virus, Acquired Immuno-Deficiency Syndrome, dan Infeksi Menular Seksual",https://paralegal.id/pengertian/acquired-immuno-deficiency-syndrome/,OK
Acuan Label Gizi,Acuan Label Gizi yang selanjutnya disingkat ALG adalah acuan untuk pencantuman keterangan tentang kandungan gizi pada Label produk Pangan.,Peraturan Badan Pangan Nasional Nomor 1 Tahun 2023,Label Pangan Segar,https://paralegal.id/pengertian/acuan-label-gizi/,OK
Adaptasi Perubahan Iklim,"Adaptasi Perubahan Iklim adalah upaya yang dilakukan untuk meningkatkan kemampuan dalam menyesuaikan diri terhadap perubahan iklim, termasuk keragaman iklim dan kejadian ekstrim sehingga potensi kerusakan akibat perubahan iklim berkurang, peluang yang ditimbulkan oleh perubahan iklim dapat dimanfaatkan, dan konsekuensi yang timbul akibat perubahan iklim dapat diatasi.",Peraturan Presiden Nomor 98 Tahun 2021,Penyelenggaraan Nilai Ekonomi Karbon untuk Pencapaian Target Kontribusi yang Ditetapkan secara Nasional dan Pengendalian Emisi Gas Rumah Kaca dalam Pembangunan Nasional,https://paralegal.id/pengertian/adaptasi-perubahan-iklim/,OK
Adat,"Adat adalah kebiasaan yang diakui, dipatuhi dan dilembagakan, serta dipertahankan oleh masyarakat adat setempat secara turun-temurun",Undang-Undang Nomor 21 Tahun 2001,Otonomi Khusus bagi Provinsi Papua,https://paralegal.id/pengertian/adat/,OK
